Rank,Language,Share,1-year trend
1,Python,30.27%,1.40%
2,Java,15.04%,-0.60%
3,JavaScript,7.93%,-0.70%
4,C/C++,6.99%,0.60%
5,C#,6.20%,-0.60%
6,R,4.59%,0.00%
7,PHP,3.74%,-0.80%
8,Rust,3.14%,0.50%
9,TypeScript,2.79%,-0.10%
10,Objective-C,2.72%,0.30%
11,Swift,2.39%,-0.40%
12,Go,2.07%,-0.20%
13,Kotlin,1.79%,-0.10%
14,Matlab,1.63%,0.10%
15,Ada,1.40%,0.50%
16,Ruby,1.02%,0.00%
17,Dart,0.93%,-0.10%
18,Powershell,0.91%,0.00%
19,VBA,0.90%,0.00%
20,Lua,0.87%,0.10%
21,Scala,0.59%,0.00%
22,Abap,0.51%,0.00%
23,Julia,0.40%,0.10%
24,Visual Basic,0.38%,-0.20%
25,Zig,0.18%,0.10%
26,Groovy,0.18%,-0.10%
27,Cobol,0.16%,0.00%
28,Haskell,0.16%,0.00%
29,Delphi/Pascal,0.07%,0.00%
30,Perl,0.06%,-0.10%
